EMDB ID,Resolution (Angstrom),FittedPDBs,PDBvolnoGMM,Multiplier,,PDBvol50,PDBvol100,PDBvol150,PDBvol200,EMvol50,EMvol100,EMvol150,EMvol200,PDBvol50wmult,PDBvol100wmult,PDBvol150wmult,PDBvol200wmult
emd_6488,3.7,3jby,287936.4447,1,3jby,287919.12,283994.81,277870.41,270819.94,206690.47,183817.72,164153.59,156642.27,287919.12,283994.81,277870.41,270819.94
emd_6535,4.7,3jc5,684174.7751,1,3jc5,752366.44,756412.56,750685,741069.5,546191.44,498760.06,458908.53,415786.03,752366.44,756412.56,750685,741069.5
emd_6534,3.7,3jc6,405845.3811,1,3jc6,444224.41,443705.69,437711.78,431738.41,356945.5,335919.5,315847.06,302211.03,444224.41,443705.69,437711.78,431738.41
emd_6536,4.8,3jc7,690183.7888,1,3jc7,792739.75,778369.31,772212.44,760159.44,546835.25,482698.09,438625.59,411797.69,792739.75,778369.31,772212.44,760159.44
emd_6617,3.2,3jcu,1233236.695,1,3jcu,1120929.62,1081102.62,1059048.25,1047075.94,842709.06,817270.75,791186.56,781386.19,1120929.62,1081102.62,1059048.25,1047075.94
emd_5137,4.3,3los,1048717.725,1,3los,1304924,1312688.62,1293886.62,1260569.62,1144390.25,1093615.88,1027304.44,1001306.38,1304924,1312688.62,1293886.62,1260569.62
emd_2325,8.9,3zpz,1020607.338,1,3zpz,1083102.62,1071538.62,1082558.25,1085048.12,769815.12,753163.88,754847.88,756508.88,1083102.62,1071538.62,1082558.25,1085048.12
emd_2326,9.2,3zq0,1011600.189,1,3zq0,1073641.12,1059978.38,1068550.62,1071694.12,701818.25,704109.25,709767.12,708303.31,1073641.12,1059978.38,1068550.62,1071694.12
emd_1998,8,4aaq,902663.4741,1,4aaq,922380.06,918419.5,934208.75,931116,809776.62,764525.5,738999.88,707700.12,922380.06,918419.5,934208.75,931116
emd_1999,8,4aar,903247.4879,1,4aar,936494.31,930577.38,943773.44,942546.38,801471.12,756289.81,725657.81,696527.12,936494.31,930577.38,943773.44,942546.38
emd_2000,8.5,4aas,898312.4658,1,4aas,951208.44,945007.44,950741.62,955622.88,832423.25,799696.44,768333.94,751898.69,951208.44,945007.44,950741.62,955622.88
emd_2001,8.5,4aau,892069.8819,1,4aau,923676.44,919642.25,935559.31,936623.62,786875.81,765276.94,741947.5,725907,923676.44,919642.25,935559.31,936623.62
emd_2002,8.5,4ab2,895819.4082,1,4ab2,905355.81,913861.88,927738.06,928096.56,758477,743505.56,725877.75,707258.31,905355.81,913861.88,927738.06,928096.56
emd_2003,8.5,4ab3,890133.8397,1,4ab3,938351.38,939931.88,950135.56,959193.81,781278.44,786488.69,762347.5,749352.88,938351.38,939931.88,950135.56,959193.81
emd_2012,6.6,4adx,291386.4853,1,4adx,1915888.12,1946808.88,1942965.25,1924157.5,1775008.62,1494294.62,1380054.75,1315616.38,1915888.12,1946808.88,1942965.25,1924157.5
emd_2526,7,4chv,171377.9831,1,4chv,165940.28,155637.12,152514.16,147487.34,70675.22,72233.83,72192.4,73019.47,165940.28,155637.12,152514.16,147487.34
emd_2527,7,4chw,173621.2486,1,4chw,165938.41,162521.34,158472.27,155233.52,71550.45,72488.59,73868.27,74330.9,165938.41,162521.34,158472.27,155233.52
emd_2605,5.5,4csu,1405656.862,1,4csu,1769967.62,1682442.88,1629283.62,1582141.5,1631238.25,1570901.5,1524317.75,1515318.88,1769967.62,1682442.88,1629283.62,1582141.5
emd_2845,6.47,4uer,1390967.39,1,4uer,1887392.75,1838427.12,1791077.5,1761598.25,1915906.75,1942010.25,1971746.38,1994194.62,1887392.75,1838427.12,1791077.5,1761598.25
emd_2924,3.6,4ui9,1136343.652,1,4ui9,1266113.12,1253036.12,1251908.75,1250928,1208421.75,1160346.88,1126114.5,1096618.88,1266113.12,1253036.12,1251908.75,1250928
emd_2981,3.5,5a0q,744489.8163,1,5a0q,733353.94,737249.25,747326.25,747966.5,663209.94,649600.88,635408,607786.75,733353.94,737249.25,747326.25,747966.5
emd_6337,3.8,5a22,276275.066,1,5a22,260964.78,266642.81,267988,268275.88,196943.62,178838.3,163769.39,153479.48,260964.78,266642.81,267988,268275.88
emd_2925,5.7,5a31,1156984.858,1,5a31,1292528.75,1266844.25,1263714.5,1261711.88,1314329.25,1286424.88,1283490.38,1287943.25,1292528.75,1266844.25,1263714.5,1261711.88
emd_3201,8.34,5fku,303534.9954,1,5fku,327539.84,330411.22,327708.47,321759.69,273385.03,249543.91,232135.66,222336.7,327539.84,330411.22,327708.47,321759.69
