atomid: atom_vol, EMid: EM_vol, score
6d00: 743804.19 , emd_7610: 1979293.90325 , 1.66104161533
6d00: 743804.19 , emd_7782: 926854.785561 , 0.246100516806
6d00: 743804.19 , emd_9400: 1413853.80583 , 0.900841410741
6d00: 743804.19 , emd_3699: 943589.637064 , 0.268599518193
6d00: 743804.19 , emd_3957: 1050095.56729 , 0.411790335965

6eu2: 757233.94 , emd_3957: 1050095.56729 , 0.386751850151
6eu2: 757233.94 , emd_7782: 926854.785561 , 0.224000585026
6eu2: 757233.94 , emd_3699: 943589.637064 , 0.2461005605
6eu2: 757233.94 , emd_7610: 1979293.90325 , 1.61384731811
6eu2: 757233.94 , emd_2981: 1034137.84287 , 0.365678145477
6eu2: 757233.94 , emd_9400: 1413853.80583 , 0.867129471025

5bk4: 1283822.88 , emd_9400: 1413853.80583 , 0.101284162995
5bk4: 1283822.88 , emd_3699: 943589.637064 , 0.265015718474
5bk4: 1283822.88 , emd_2981: 1034137.84287 , 0.194485579762
5bk4: 1283822.88 , emd_3957: 1050095.56729 , 0.182055730856
5bk4: 1283822.88 , emd_7610: 1979293.90325 , 0.541718825923

6ct0: 1386939.6 , emd_7610: 1979293.90325 , 0.427094520372
6ct0: 1386939.6 , emd_2981: 1034137.84287 , 0.254374276377
6ct0: 1386939.6 , emd_3957: 1050095.56729 , 0.242868566669
6ct0: 1386939.6 , emd_9400: 1413853.80583 , 0.0194054635359

